part_id,target_fname,cond,practice,trial_id,response
part01,../../target_stims/wav/a_dg10_CV.wav,block1,False,89,D
part01,../../target_stims/wav/a_dg16_CV.wav,block1,False,90,G
part01,../../target_stims/wav/a_dg15_CV.wav,block1,False,91,G
part01,../../target_stims/wav/a_dg12_CV.wav,block1,False,92,D
part01,../../target_stims/wav/a_dg14_CV.wav,block1,False,93,G
part01,../../target_stims/wav/a_dg10_CV.wav,block1,False,94,D
part01,../../target_stims/wav/a_dg16_CV.wav,block1,False,95,G
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,96,D
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,97,G
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,98,D
part01,../../target_stims/wav/a_dg14_CV.wav,block1,False,99,G
part01,../../target_stims/wav/a_dg15_CV.wav,block1,False,100,G
part01,../../target_stims/wav/a_dg09_CV.wav,block1,False,101,D
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,102,D
part01,../../target_stims/wav/a_dg14_CV.wav,block1,False,103,G
part01,../../target_stims/wav/a_dg10_CV.wav,block1,False,104,D
part01,../../target_stims/wav/a_dg14_CV.wav,block1,False,105,G
part01,../../target_stims/wav/a_dg11_CV.wav,block1,False,106,D
part01,../../target_stims/wav/a_dg11_CV.wav,block1,False,107,D
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,108,D
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,109,D
part01,../../target_stims/wav/a_dg16_CV.wav,block1,False,110,G
part01,../../target_stims/wav/a_dg09_CV.wav,block1,False,111,D
part01,../../target_stims/wav/a_dg10_CV.wav,block1,False,112,D
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,113,G
part01,../../target_stims/wav/a_dg10_CV.wav,block1,False,114,D
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,115,D
part01,../../target_stims/wav/a_dg12_CV.wav,block1,False,116,D
part01,../../target_stims/wav/a_dg09_CV.wav,block1,False,117,D
part01,../../target_stims/wav/a_dg12_CV.wav,block1,False,118,G
part01,../../target_stims/wav/a_dg10_CV.wav,block1,False,119,D
part01,../../target_stims/wav/a_dg12_CV.wav,block1,False,120,D
part01,../../target_stims/wav/a_dg15_CV.wav,block1,False,121,G
