stim_fname,target_fname,condition
../combined_stims/dg09_1_low.wav,a_dg09_CV.wav,low
../combined_stims/dg10_2_low.wav,a_dg10_CV.wav,low
../combined_stims/dg11_3_low.wav,a_dg11_CV.wav,low
../combined_stims/dg12_4_low.wav,a_dg12_CV.wav,low
../combined_stims/dg13_5_low.wav,a_dg13_CV.wav,low
../combined_stims/dg14_6_low.wav,a_dg14_CV.wav,low
../combined_stims/dg15_7_low.wav,a_dg15_CV.wav,low
../combined_stims/dg16_8_low.wav,a_dg16_CV.wav,low
../combined_stims/dg09_9_low.wav,a_dg09_CV.wav,low
../combined_stims/dg10_10_low.wav,a_dg10_CV.wav,low
../combined_stims/dg11_11_low.wav,a_dg11_CV.wav,low
../combined_stims/dg12_12_low.wav,a_dg12_CV.wav,low
../combined_stims/dg13_13_low.wav,a_dg13_CV.wav,low
../combined_stims/dg14_14_low.wav,a_dg14_CV.wav,low
../combined_stims/dg15_15_low.wav,a_dg15_CV.wav,low
../combined_stims/dg16_16_low.wav,a_dg16_CV.wav,low
../combined_stims/dg09_17_low.wav,a_dg09_CV.wav,low
../combined_stims/dg10_18_low.wav,a_dg10_CV.wav,low
../combined_stims/dg11_19_low.wav,a_dg11_CV.wav,low
../combined_stims/dg12_20_low.wav,a_dg12_CV.wav,low
../combined_stims/dg13_21_low.wav,a_dg13_CV.wav,low
../combined_stims/dg14_22_low.wav,a_dg14_CV.wav,low
../combined_stims/dg15_23_low.wav,a_dg15_CV.wav,low
../combined_stims/dg16_24_low.wav,a_dg16_CV.wav,low
../combined_stims/dg09_25_low.wav,a_dg09_CV.wav,low
../combined_stims/dg10_26_low.wav,a_dg10_CV.wav,low
../combined_stims/dg11_27_low.wav,a_dg11_CV.wav,low
../combined_stims/dg12_28_low.wav,a_dg12_CV.wav,low
../combined_stims/dg13_29_low.wav,a_dg13_CV.wav,low
../combined_stims/dg14_30_low.wav,a_dg14_CV.wav,low
../combined_stims/dg15_31_low.wav,a_dg15_CV.wav,low
../combined_stims/dg16_32_low.wav,a_dg16_CV.wav,low
../combined_stims/dg09_33_low.wav,a_dg09_CV.wav,low
../combined_stims/dg10_34_low.wav,a_dg10_CV.wav,low
../combined_stims/dg11_35_low.wav,a_dg11_CV.wav,low
../combined_stims/dg12_36_low.wav,a_dg12_CV.wav,low
../combined_stims/dg13_37_low.wav,a_dg13_CV.wav,low
../combined_stims/dg14_38_low.wav,a_dg14_CV.wav,low
../combined_stims/dg15_39_low.wav,a_dg15_CV.wav,low
../combined_stims/dg16_40_low.wav,a_dg16_CV.wav,low
../combined_stims/dg09_41_low.wav,a_dg09_CV.wav,low
../combined_stims/dg10_42_low.wav,a_dg10_CV.wav,low
../combined_stims/dg11_43_low.wav,a_dg11_CV.wav,low
../combined_stims/dg12_44_low.wav,a_dg12_CV.wav,low
../combined_stims/dg13_45_low.wav,a_dg13_CV.wav,low
../combined_stims/dg14_46_low.wav,a_dg14_CV.wav,low
../combined_stims/dg15_47_low.wav,a_dg15_CV.wav,low
../combined_stims/dg16_48_low.wav,a_dg16_CV.wav,low
../combined_stims/dg09_49_low.wav,a_dg09_CV.wav,low
../combined_stims/dg10_50_low.wav,a_dg10_CV.wav,low
../combined_stims/dg11_51_low.wav,a_dg11_CV.wav,low
../combined_stims/dg12_52_low.wav,a_dg12_CV.wav,low
../combined_stims/dg13_53_low.wav,a_dg13_CV.wav,low
../combined_stims/dg14_54_low.wav,a_dg14_CV.wav,low
../combined_stims/dg15_55_low.wav,a_dg15_CV.wav,low
../combined_stims/dg16_56_low.wav,a_dg16_CV.wav,low
../combined_stims/dg09_57_low.wav,a_dg09_CV.wav,low
../combined_stims/dg10_58_low.wav,a_dg10_CV.wav,low
../combined_stims/dg11_59_low.wav,a_dg11_CV.wav,low
../combined_stims/dg12_60_low.wav,a_dg12_CV.wav,low
../combined_stims/dg13_61_low.wav,a_dg13_CV.wav,low
../combined_stims/dg14_62_low.wav,a_dg14_CV.wav,low
../combined_stims/dg15_63_low.wav,a_dg15_CV.wav,low
../combined_stims/dg16_64_low.wav,a_dg16_CV.wav,low
../combined_stims/dg09_65_low.wav,a_dg09_CV.wav,low
../combined_stims/dg10_66_low.wav,a_dg10_CV.wav,low
../combined_stims/dg11_67_low.wav,a_dg11_CV.wav,low
../combined_stims/dg12_68_low.wav,a_dg12_CV.wav,low
../combined_stims/dg13_69_low.wav,a_dg13_CV.wav,low
../combined_stims/dg14_70_low.wav,a_dg14_CV.wav,low
../combined_stims/dg15_71_low.wav,a_dg15_CV.wav,low
../combined_stims/dg16_72_low.wav,a_dg16_CV.wav,low
../combined_stims/dg09_73_low.wav,a_dg09_CV.wav,low
../combined_stims/dg10_74_low.wav,a_dg10_CV.wav,low
../combined_stims/dg11_75_low.wav,a_dg11_CV.wav,low
../combined_stims/dg12_76_low.wav,a_dg12_CV.wav,low
../combined_stims/dg13_77_low.wav,a_dg13_CV.wav,low
../combined_stims/dg14_78_low.wav,a_dg14_CV.wav,low
../combined_stims/dg15_79_low.wav,a_dg15_CV.wav,low
../combined_stims/dg16_80_low.wav,a_dg16_CV.wav,low
../combined_stims/dg09_81_high.wav,a_dg09_CV.wav,high
../combined_stims/dg10_82_high.wav,a_dg10_CV.wav,high
../combined_stims/dg11_83_high.wav,a_dg11_CV.wav,high
../combined_stims/dg12_84_high.wav,a_dg12_CV.wav,high
../combined_stims/dg13_85_high.wav,a_dg13_CV.wav,high
../combined_stims/dg14_86_high.wav,a_dg14_CV.wav,high
../combined_stims/dg15_87_high.wav,a_dg15_CV.wav,high
../combined_stims/dg16_88_high.wav,a_dg16_CV.wav,high
../combined_stims/dg09_89_high.wav,a_dg09_CV.wav,high
../combined_stims/dg10_90_high.wav,a_dg10_CV.wav,high
../combined_stims/dg11_91_high.wav,a_dg11_CV.wav,high
../combined_stims/dg12_92_high.wav,a_dg12_CV.wav,high
../combined_stims/dg13_93_high.wav,a_dg13_CV.wav,high
../combined_stims/dg14_94_high.wav,a_dg14_CV.wav,high
../combined_stims/dg15_95_high.wav,a_dg15_CV.wav,high
../combined_stims/dg16_96_high.wav,a_dg16_CV.wav,high
../combined_stims/dg09_97_high.wav,a_dg09_CV.wav,high
../combined_stims/dg10_98_high.wav,a_dg10_CV.wav,high
../combined_stims/dg11_99_high.wav,a_dg11_CV.wav,high
../combined_stims/dg12_100_high.wav,a_dg12_CV.wav,high
../combined_stims/dg13_101_high.wav,a_dg13_CV.wav,high
../combined_stims/dg14_102_high.wav,a_dg14_CV.wav,high
../combined_stims/dg15_103_high.wav,a_dg15_CV.wav,high
../combined_stims/dg16_104_high.wav,a_dg16_CV.wav,high
../combined_stims/dg09_105_high.wav,a_dg09_CV.wav,high
../combined_stims/dg10_106_high.wav,a_dg10_CV.wav,high
../combined_stims/dg11_107_high.wav,a_dg11_CV.wav,high
../combined_stims/dg12_108_high.wav,a_dg12_CV.wav,high
../combined_stims/dg13_109_high.wav,a_dg13_CV.wav,high
../combined_stims/dg14_110_high.wav,a_dg14_CV.wav,high
../combined_stims/dg15_111_high.wav,a_dg15_CV.wav,high
../combined_stims/dg16_112_high.wav,a_dg16_CV.wav,high
../combined_stims/dg09_113_high.wav,a_dg09_CV.wav,high
../combined_stims/dg10_114_high.wav,a_dg10_CV.wav,high
../combined_stims/dg11_115_high.wav,a_dg11_CV.wav,high
../combined_stims/dg12_116_high.wav,a_dg12_CV.wav,high
../combined_stims/dg13_117_high.wav,a_dg13_CV.wav,high
../combined_stims/dg14_118_high.wav,a_dg14_CV.wav,high
../combined_stims/dg15_119_high.wav,a_dg15_CV.wav,high
../combined_stims/dg16_120_high.wav,a_dg16_CV.wav,high
../combined_stims/dg09_121_high.wav,a_dg09_CV.wav,high
../combined_stims/dg10_122_high.wav,a_dg10_CV.wav,high
../combined_stims/dg11_123_high.wav,a_dg11_CV.wav,high
../combined_stims/dg12_124_high.wav,a_dg12_CV.wav,high
../combined_stims/dg13_125_high.wav,a_dg13_CV.wav,high
../combined_stims/dg14_126_high.wav,a_dg14_CV.wav,high
../combined_stims/dg15_127_high.wav,a_dg15_CV.wav,high
../combined_stims/dg16_128_high.wav,a_dg16_CV.wav,high
../combined_stims/dg09_129_high.wav,a_dg09_CV.wav,high
../combined_stims/dg10_130_high.wav,a_dg10_CV.wav,high
../combined_stims/dg11_131_high.wav,a_dg11_CV.wav,high
../combined_stims/dg12_132_high.wav,a_dg12_CV.wav,high
../combined_stims/dg13_133_high.wav,a_dg13_CV.wav,high
../combined_stims/dg14_134_high.wav,a_dg14_CV.wav,high
../combined_stims/dg15_135_high.wav,a_dg15_CV.wav,high
../combined_stims/dg16_136_high.wav,a_dg16_CV.wav,high
../combined_stims/dg09_137_high.wav,a_dg09_CV.wav,high
../combined_stims/dg10_138_high.wav,a_dg10_CV.wav,high
../combined_stims/dg11_139_high.wav,a_dg11_CV.wav,high
../combined_stims/dg12_140_high.wav,a_dg12_CV.wav,high
../combined_stims/dg13_141_high.wav,a_dg13_CV.wav,high
../combined_stims/dg14_142_high.wav,a_dg14_CV.wav,high
../combined_stims/dg15_143_high.wav,a_dg15_CV.wav,high
../combined_stims/dg16_144_high.wav,a_dg16_CV.wav,high
../combined_stims/dg09_145_high.wav,a_dg09_CV.wav,high
../combined_stims/dg10_146_high.wav,a_dg10_CV.wav,high
../combined_stims/dg11_147_high.wav,a_dg11_CV.wav,high
../combined_stims/dg12_148_high.wav,a_dg12_CV.wav,high
../combined_stims/dg13_149_high.wav,a_dg13_CV.wav,high
../combined_stims/dg14_150_high.wav,a_dg14_CV.wav,high
../combined_stims/dg15_151_high.wav,a_dg15_CV.wav,high
../combined_stims/dg16_152_high.wav,a_dg16_CV.wav,high
../combined_stims/dg09_153_high.wav,a_dg09_CV.wav,high
../combined_stims/dg10_154_high.wav,a_dg10_CV.wav,high
../combined_stims/dg11_155_high.wav,a_dg11_CV.wav,high
../combined_stims/dg12_156_high.wav,a_dg12_CV.wav,high
../combined_stims/dg13_157_high.wav,a_dg13_CV.wav,high
../combined_stims/dg14_158_high.wav,a_dg14_CV.wav,high
../combined_stims/dg15_159_high.wav,a_dg15_CV.wav,high
../combined_stims/dg16_160_high.wav,a_dg16_CV.wav,high
